Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
ReduceSum,Transpose,NPU,592736,96.82191207987037,829631,14.570466543096305,132264,829631,0,0,0,65856,0.011215365050118662,0.031007761281822883,tosa_rescale_default_99_transpose
ReduceSum,ReduceSum,NPU,596864,97.49621033923998,8502,0.14931711393306757,8502,3250,0,0,0,65856,0.011215365050118662,3.0257586450247,tosa_table_default_63
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_63
Rescale,Rescale,NPU,350080,57.184674089174635,2560,0.044960222496901084,2560,258,0,0,0,4116,0.0007009603156324164,0.6280517578125,tosa_rescale_default_101
Mul,Mul,NPU,612192,100.0,33280,0.5844828924597141,33280,4266,0,0,0,0,0.0,0.0,tosa_mul_default
Rescale,Rescale,NPU,397984,65.00967016883592,836875,14.697689922693005,132310,836875,0,0,0,65856,0.011215365050118662,0.030739357729648992,tosa_transpose_default_7
Transpose,Transpose,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_transpose_default_7
Conv2D,Conv2D,NPU,136144,22.238774763472897,12890,0.22638174530666208,8468,3300,12890,0,0,65856,0.011215365050118662,1.995733126454616,tosa_rescale_default_103
Add,Add,NPU,72096,11.776697506664576,772,0.013558317096721732,520,203,772,0,0,0,0.0,0.0,tosa_rescale_default_108
Rescale,Rescale,NPU,80416,13.135748261983169,1328,0.023323115420267437,1328,203,0,0,0,2058,0.0003504801578162082,0.6053510918674698,tosa_rescale_default_109
Sub,Sub,NPU,80416,13.135748261983169,772,0.013558317096721732,520,203,772,0,0,0,0.0,0.0,tosa_rescale_default_106
Rescale,Rescale,NPU,84608,13.820500757932152,1328,0.023323115420267437,1328,203,0,0,0,2058,0.0003504801578162082,0.6053510918674698,tosa_rescale_default_107
Add,Add,NPU,86688,14.1602634467618,1560,0.027397635584049097,1560,203,0,0,0,0,0.0,0.0,tosa_rescale_default_110
Mul,Mul,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_concat_default_16
Sub,Sub,NPU,86688,14.1602634467618,1040,0.018265090389366065,1040,260,0,0,0,0,0.0,0.0,tosa_concat_default_16
Mul,Mul,NPU,74176,12.116460195494223,1029,0.018071901933324693,1029,803,390,0,0,0,0.0,0.0,tosa_rescale_default_116
